,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
30176,19.5,22.4,15.6,6.2,0.0,,17.0,20.0,92.0,84.0,1017.6,1017.4,8.0,8.0,20.7,20.9
30177,19.5,25.6,6.0,3.4,2.7,,9.0,13.0,83.0,73.0,1017.9,1016.4,7.0,7.0,22.4,24.8
30178,21.6,24.5,6.6,2.4,0.1,,17.0,2.0,88.0,86.0,1016.7,1015.6,7.0,8.0,23.5,23.0
30179,20.2,22.8,18.8,2.2,0.0,,22.0,20.0,83.0,90.0,1014.2,1011.8,8.0,8.0,21.4,20.9
30180,19.7,25.7,77.4,,0.0,,11.0,6.0,88.0,74.0,1008.3,1004.8,8.0,8.0,22.5,25.5
30181,20.2,27.2,1.6,2.6,8.6,,9.0,22.0,69.0,62.0,1002.7,998.6,6.0,6.0,23.8,26.0
30182,18.6,26.3,6.2,5.2,5.2,,15.0,15.0,75.0,80.0,999.0,1000.3,4.0,7.0,21.7,22.3
30183,17.2,22.3,27.6,5.8,2.1,,7.0,15.0,77.0,61.0,1008.3,1007.4,7.0,8.0,18.9,21.1
30184,16.4,20.8,12.6,4.8,3.0,,19.0,9.0,92.0,91.0,1006.4,1007.6,7.0,7.0,17.1,16.5
30185,14.6,24.2,8.8,4.4,10.1,,11.0,20.0,80.0,53.0,1014.0,1013.4,4.0,2.0,17.2,23.3
30186,16.4,23.9,0.0,6.4,8.0,,9.0,26.0,78.0,53.0,1017.6,1015.3,7.0,8.0,18.9,23.7
30187,18.9,27.3,0.0,6.8,6.7,,7.0,24.0,68.0,67.0,1010.7,1007.5,7.0,7.0,22.9,24.7
30188,18.4,22.8,14.4,7.0,3.3,,24.0,30.0,87.0,70.0,1009.2,1011.7,8.0,7.0,20.9,21.0
30189,16.9,24.3,3.0,3.2,8.7,,15.0,19.0,81.0,51.0,1017.2,1016.5,7.0,1.0,18.4,23.3
30190,18.3,24.4,0.0,6.2,8.5,,19.0,22.0,80.0,56.0,1020.2,1018.9,7.0,3.0,19.5,23.8
30191,16.7,24.1,0.0,6.2,8.8,,11.0,26.0,77.0,52.0,1023.0,1022.6,7.0,6.0,19.8,23.3
30192,19.5,24.8,0.0,7.6,3.2,,13.0,24.0,63.0,62.0,1024.7,1023.1,7.0,7.0,21.8,23.4
30193,18.6,25.3,0.0,4.2,4.5,,13.0,24.0,70.0,59.0,1021.7,1019.4,7.0,6.0,21.2,23.8
30194,19.0,24.8,0.0,5.2,7.5,,7.0,17.0,79.0,65.0,1018.0,1015.4,7.0,7.0,20.8,23.4
30195,18.3,26.4,0.0,4.6,11.1,,13.0,22.0,80.0,60.0,1013.4,1010.8,3.0,1.0,21.3,25.2
30196,20.6,26.8,0.0,6.8,6.4,,4.0,15.0,86.0,62.0,1011.4,1009.7,7.0,7.0,22.1,24.9
30197,19.1,25.4,0.4,4.4,9.4,,11.0,28.0,77.0,66.0,1009.2,1003.1,4.0,1.0,22.3,24.9
30198,20.5,26.0,0.0,6.6,12.2,,20.0,24.0,38.0,45.0,1007.4,1007.0,1.0,1.0,22.5,24.0
30199,16.5,28.3,0.0,8.6,12.0,,11.0,24.0,48.0,40.0,1007.9,1008.0,0.0,0.0,21.2,26.1
30200,20.5,24.2,0.0,8.6,1.5,,15.0,20.0,58.0,54.0,1017.5,1016.9,7.0,7.0,21.6,23.5
30201,19.3,26.2,0.0,3.6,8.4,,2.0,28.0,73.0,65.0,1018.3,1015.6,1.0,6.0,23.0,25.8
30202,19.0,29.0,22.2,8.2,3.3,,0.0,15.0,82.0,52.0,1014.1,1010.6,7.0,7.0,21.3,24.7
30203,17.9,21.4,4.2,4.2,0.0,,20.0,9.0,77.0,88.0,1010.0,1010.1,8.0,8.0,20.4,19.2
30204,14.7,20.6,33.0,7.0,8.9,,24.0,28.0,65.0,51.0,1015.3,1015.6,5.0,3.0,17.1,19.9
30205,12.8,22.0,0.2,6.2,11.3,,19.0,31.0,55.0,46.0,1020.9,1020.6,0.0,1.0,15.9,21.2
30206,14.2,23.4,5.4,6.4,7.3,,13.0,17.0,93.0,54.0,1026.2,1025.2,7.0,2.0,15.1,22.4
30207,15.0,23.1,0.2,2.6,11.2,,15.0,19.0,78.0,57.0,1025.8,1022.5,1.0,1.0,18.2,22.5
30208,15.5,25.4,0.0,6.8,11.3,,9.0,19.0,77.0,57.0,1020.5,1018.6,0.0,2.0,18.7,23.8
30209,18.7,25.8,0.0,6.0,8.7,,19.0,22.0,72.0,64.0,1024.8,1024.2,6.0,3.0,22.6,24.1
30210,19.6,26.0,0.0,5.0,10.4,,11.0,19.0,67.0,65.0,1024.2,1019.8,1.0,1.0,22.1,24.7
30211,19.9,24.9,0.0,7.6,4.5,,13.0,24.0,83.0,75.0,1021.3,1020.7,5.0,7.0,22.9,23.3
